# PA and PD calculated from xpbin with 1 bin. Seems like a decent approximation but off.
idx,obs,PD,PA
0,smc_x-1/02007201,0.07824405681689228,82.05500574949777
1,smc_x-1/02007101,0.02380660982807681,60.68182250553999
2,smc_x-1/02007001,0.007302737417221292,72.58732327835114
3,lmc_x-1/02001901,0.008931360813155233,62.79915597750789
4,xte_j1701-462/01250601,0.04126259505968505,-36.52933556176877
5,xte_j1701-462/01250701,0.005064730114451914,-33.86743315826207
6,gx_3+1/03004101,0.0068371737544109384,-31.20935995088573
7,4u_1626-67/01002701,0.03926837511396792,-87.77208166285484
8,gx_9+1/03003801,0.02130033551133212,-0.8968130733610006
9,gx_5-1/02002799,0.030941059930487586,-11.37050967199682
10,swift_j1727/02251301,0.0318215516637776,-6.712141073761517
11,swift_j1727/02250901,0.043911697517983725,4.814823343825821
12,swift_j1727/03005801,0.0385367588795351,13.100103727778576
13,swift_j1727/02251001,0.0407586088448011,3.522780415268537
14,swift_j1727/02251201,0.032641956387148945,-2.3555436764904485
15,swift_j1727/03005701,0.004331325547831083,43.6373042182828
16,swift_j1727/02251101,0.03910234871398569,1.0492958445873712
17,swift_j1727/03006001,0.0026012039784541704,83.81054633135321
18,cyg_x-2/01006601,0.01898798461773749,-43.10073534762884
19,cyg_x-2/01001601,0.015267955391847986,-60.82699140489608
20,4u_1728-34/03003701,0.01751664979275778,-40.74224610614197
21,x_persei/01001799,0.008815980119399982,-87.9919345719632
22,cyg_x-1/02008601,0.0212798004764003,-22.961213643115194
23,cyg_x-1/02008301,0.022280554135229242,-15.791924685745649
24,cyg_x-1/03002201,0.02990144761381594,-31.80559638202614
25,cyg_x-1/02008201,0.025728955050623836,-3.6103389309263516
26,cyg_x-1/02008501,0.01655286391712929,-11.679081090189468
27,cyg_x-1/02008401,0.016318361630522266,-13.598847468766243
28,cyg_x-1/03010001,0.055000156093811536,-31.80581772127853
29,cyg_x-1/01002901,0.03458583232091919,-17.033038444198027
30,cyg_x-1/03003101,0.031121565282242657,-22.372828897786224
31,cyg_x-1/01250101,0.035967064490987403,-26.143131496158663
32,cyg_x-1/03010101,0.04717851576711005,-31.317450404471895
33,4u_1624-49/02007301,0.025946520863505615,-82.94770974981155
34,4u_1957+115/02006601,0.01305025087731213,-64.53943854313812
35,gx_9+9/01002401,0.014674254985000895,54.573521065940675
36,4u_1630-47/01250401,0.07784732440229965,15.901419609728464
37,4u_1630-47/02250601,0.06115038403749741,21.91583981381128
38,ls_v+44_17/02250501,0.05785040680239942,-62.438204220172075
39,ls_v+44_17/02250401,0.04572024454639271,81.5995223545271
40,gro_j1008-57/02003601,0.036512869108489034,1.4855948219181154
41,gro_j1008-57/02003501,0.049509270081480095,-4.332716365083983
42,lmc_x-3/02006599,0.034429849656330294,-37.318737319404455
43,cen_x-3/01006501,0.031289709455774986,-77.62585000453505
44,cen_x-3/01250201,0.05265151616800379,42.79046209101941
45,gx_340+0/03003301,0.03773788816360433,37.55306323825329
46,gx_340+0/03009901,0.008974507565451489,61.42103201011755
47,gx_349+2/03003601,0.013410571017496523,38.967808406762856
48,4u_1538-52/03002701,0.04091677489732476,-24.767125322947244
49,4u_1538-52/03002801,0.058870557435428426,-7.821707127587241
50,cir_x-1/02002699,0.005327153710168255,23.44063391531854
51,cyg_x-3/02001899,0.1935739936435452,-89.20449512484994
52,cyg_x-3/02250301,0.10411885965703886,-88.19606552534448
53,cyg_x-3/02009101,0.2086768472706658,-88.43978151451101
54,cyg_x-3/03250301,0.12491827280463998,-86.15817051194553
55,vela_x-1/01002501,0.03346540740101575,86.28709672420094
56,vela_x-1/02005801,0.049835018292692615,-47.105236391486194
57,gx_301-2/01002601,0.013915237796005233,-18.58555272616165
58,mcg-5-23-16/01003399,0.03407968072595116,-82.18982753680717
59,mcg-5-23-16/02003299,0.037484719863991586,11.054254252915928
60,4u_1735-44/03004001,0.012761911965461533,-50.50042114554329
61,sco_x-1/02002401,0.0078029178676016515,13.493657647810572
62,swift_j151857/03250201,0.0042500857962422395,-78.18549245567472
63,gx_339-4/03005101,0.008939231707977575,-71.02725898063788
64,gx_339-4/03005301,0.01326960217517508,-70.68266093413656
65,v395_car/03001201,0.04479768600492725,-88.47429482625134
66,srga_j144459/03250101,0.02666107060080106,68.38947566912817
67,exo_2030+375/02250201,0.009959934794574769,40.714234675538826
68,ser_x-1/03003901,0.010189533137574947,-13.31312090748887
69,swift_j0234/02250799,0.01830918641632246,10.418484046673703
70,gx_13+1/03001101,0.029293066662153637,32.767453869356025
71,gx_13+1/02006801,0.014183986466766576,0.6386689993788575
72,gx_13+1/03003401,0.010531003343099424,-22.162685501768323
73,gs_1826-238/01002801,0.01169599982635471,30.515193706025098
74,her_x-1/01001899,0.08691355755905185,64.95595204651514
75,her_x-1/02003901,0.13688232333160372,40.05293177801911
76,her_x-1/02004001,0.06995253136660075,47.735202050249775
77,her_x-1/02003801,0.09686942600098221,41.71519627180526
78,her_x-1/02004101,0.07882270800463821,50.902923053858245
79,4u_1820-303/02002399,0.008710363018078123,-82.32169360721983
